Reserve,Block,Treatment,Veg_Complexity,CoverLitter,CoverBare,CoverGrass,CoverForb,TotalSpecies,RichnessNoTrees,RichnessForbs,RichnessGrass,RichnessShrub,RooDung,RabbitDung,GoatDung,Orufus_perkmAS,Mgiganteus_perkmAS,Mfuliginosis_perkmAS,RooperkmsqSL,RabbitperkmsqSL,TotalkmAS,TotalkmSL,PBray1,Carbon,Nitrogen,BulkDensity_lessthan2mm,,,,
Mungo,MU6,Control,17.75,42.98,23.97,0.00,1.65,7,7,6,0,1,82,0,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,15.28,0.91,0.07,1.2205,,,,
Mungo,MU6,Rabbit_Exclusion,22.50,31.51,2.89,0.00,41.16,9,9,8,0,1,82,0,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,6.55,1.47,0.09,1.1360,,,,
Mungo,MU7,Kangaroo_Exclusion,23.00,43.31,3.54,1.18,38.58,12,12,9,2,1,46,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,9.95,0.84,0.06,1.3070,,,,
Mungo,MU7,Exclude_All,28.50,44.50,3.40,2.36,28.01,14,14,10,3,1,46,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,11.90,0.88,0.06,1.3979,,,,
Mungo,MU7,Control,34.00,42.94,3.53,0.00,28.82,5,5,4,0,1,46,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,7.09,0.73,0.06,1.3793,,,,
Mungo,MU7,Rabbit_Exclusion,30.88,48.76,5.37,0.83,31.82,11,11,9,1,1,46,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,9.51,0.63,0.05,1.2926,,,,
Mungo,MU8,Exclude_All,20.63,12.87,1.47,49.26,8.46,11,11,6,3,2,22,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,21.46,0.61,0.05,1.4053,,,,
Mungo,MU8,Control,14.50,7.21,42.95,3.28,0.33,5,5,2,1,2,22,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,9.51,0.44,0.04,1.4063,,,,
Mungo,MU8,Rabbit_Exclusion,22.25,11.30,47.28,2.93,2.93,8,8,4,1,3,22,1,0,4.83,0.00,1.54,17.29,21.61,54.40,34.70,13.80,0.54,0.04,1.4451,,,,
OolambeyanNP,OOL1,Exclude_All,21.50,47.71,0.00,41.22,8.02,17,17,10,3,4,273,0,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,22.25,2.04,0.21,1.2137,,,,
OolambeyanNP,OOL1,Control,12.75,40.86,16.73,13.23,24.51,11,11,7,3,1,273,0,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,8.68,1.22,0.12,1.3621,,,,
OolambeyanNP,OOL10,Exclude_All,49.50,31.51,0.00,40.76,27.73,14,13,7,4,2,252,31,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,13.61,0.97,0.09,1.3444,,,,
OolambeyanNP,OOL10,Control,1.50,65.77,18.12,0.00,16.11,5,5,4,1,0,252,31,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,17.47,0.92,0.09,1.4206,,,,
OolambeyanNP,OOL2,Exclude_All,16.00,19.73,0.00,48.43,30.49,20,20,14,3,3,300,3,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,30.25,1.68,0.17,1.2872,,,,
OolambeyanNP,OOL2,Control,15.75,42.44,8.29,0.00,44.88,9,9,6,0,3,300,3,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,23.42,1.45,0.15,1.4414,,,,
OolambeyanNP,OOL3,Exclude_All,14.50,22.10,20.97,33.71,20.60,18,17,9,4,4,114,4,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,8.39,1.12,0.11,1.4265,,,,
OolambeyanNP,OOL3,Control,4.00,23.23,50.97,1.29,22.58,7,6,5,0,1,114,4,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,3.61,0.83,0.09,1.5337,,,,
OolambeyanNP,OOL4,Kangaroo_Exclusion,14.50,49.07,0.62,16.77,33.54,6,5,3,2,0,144,54,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,57.73,1.76,0.18,1.1302,,,,
OolambeyanNP,OOL4,Control,13.50,63.13,11.11,0.00,24.24,5,5,4,1,0,144,54,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,44.71,1.48,0.14,1.3012,,,,
OolambeyanNP,OOL5,Exclude_All,18.25,10.22,0.54,53.76,35.48,12,12,7,5,0,251,53,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,56.84,1.62,0.14,1.2040,,,,
OolambeyanNP,OOL5,Control,4.00,64.97,25.48,0.00,3.82,4,4,3,0,1,251,53,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,55.22,0.74,0.07,1.5042,,,,
OolambeyanNP,OOL6,Kangaroo_Exclusion,4.50,75.45,5.39,10.78,7.78,5,4,2,2,0,101,19,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,41.52,1.27,0.12,1.2137,,,,
OolambeyanNP,OOL6,Control,5.00,70.77,20.77,0.00,7.69,3,3,3,0,0,101,19,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,46.63,0.96,0.23,1.3019,,,,
OolambeyanNP,OOL7,Kangaroo_Exclusion,16.25,62.50,4.69,10.94,21.88,7,6,4,2,0,136,21,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,52.77,1.66,0.19,1.2265,,,,
OolambeyanNP,OOL7,Control,3.50,73.01,13.50,0.00,10.43,5,5,5,0,0,136,21,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,37.57,1.37,0.16,1.4172,,,,
OolambeyanNP,OOL8,Exclude_All,31.75,41.03,0.00,42.12,16.85,25,25,21,4,0,280,4,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,11.11,1.38,0.15,1.2509,,,,
OolambeyanNP,OOL8,Control,5.00,39.71,17.22,10.05,24.40,16,16,13,1,2,280,4,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,8.91,1.09,0.12,1.4300,,,,
OolambeyanNP,OOL9,Exclude_All,19.50,47.83,2.42,35.75,11.11,18,18,11,5,2,276,3,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,9.68,1.32,0.14,1.2233,,,,
OolambeyanNP,OOL9,Control,8.75,44.13,20.66,5.63,15.96,16,16,11,2,3,276,3,0,21.70,10.71,1.45,144.90,77.38,32.30,39.20,7.70,0.93,0.10,1.4681,,,,
YathongNR,NPWS1,Kangaroo_Exclusion,18.25,32.94,4.31,48.63,11.76,11,8,5,1,2,297,0,0,5.63,2.69,4.01,50.00,37.40,30.90,25.40,31.35,1.02,0.08,1.3899,,,,
YathongNR,NPWS1,Exclude_All,18.50,73.98,2.04,9.69,11.73,17,15,11,1,3,297,0,0,5.63,2.69,4.01,50.00,37.40,30.90,25.40,22.67,1.08,0.08,1.4087,,,,
